"row_id" "bdmId" "NInCat" "hostFlag" "x" "y" "z" "np" "Mvir" "Mtot" "Rvir" "conc"
"23" 23 41604995874 4995874 -1 30.9127006530762 185.27490234375 100.650398254395 107 14499999744 14629999616 0.0507000014185905 8.17899990081787
"24" 24 41604995594 4995594 -1 30.5914001464844 183.946304321289 100.587699890137 34 4607000064 4607000064 0.0344999991357327 10.210000038147
"25" 25 41604995824 4995824 -1 30.073299407959 185.178207397461 100.16739654541 48 6.504e+09 6.64e+09 0.0390000008046627 17.2199993133545
"26" 26 41603166524 3166524 -1 29.8437004089355 184.6376953125 99.8995971679688 122 16529999872 18840000512 0.0553000010550022 20.6399993896484
"27" 27 41604995754 4995754 -1 28.5823001861572 184.614196777344 100.26490020752 24 3.252e+09 3.252e+09 0.0307000000029802 8.05799961090088
"28" 28 41604995454 4995454 -1 28.6070995330811 184.148696899414 100.686798095703 40 5420000256 6232999936 0.0381999984383583 9.95800018310547
"29" 29 41603146964 3146964 -1 27.849100112915 185.152404785156 98.1323013305664 79 10700000256 14090000384 0.0412000007927418 5.04500007629395
"30" 30 41603153024 3153024 41603149167 27.5349006652832 185.441604614258 97.6746978759766 104 14090000384 790899982336 0.0403000004589558 12.289999961853
"31" 31 41603154034 3154034 -1 28.0016994476318 184.625793457031 98.6445999145508 33 4.472e+09 4.472e+09 0.0342000015079975 12.9399995803833
"32" 32 41603168374 3168374 -1 29.7000007629395 184.684494018555 98.7306976318359 144 19509999616 19919998976 0.0562000013887882 9.44799995422363
"33" 33 41603169484 3169484 -1 29.8955993652344 184.535293579102 99.1811981201172 1911 258900000768 275200016384 0.134900003671646 10.6300001144409
"34" 34 41603170574 3170574 -1 30.2024002075195 184.229598999023 99.4523010253906 39 5285000192 5555999744 0.0366999991238117 10.2299995422363
"35" 35 41603177124 3177124 -1 29.4568996429443 183.966293334961 98.9645004272461 80 10840000512 10979999744 0.0461000017821789 19.9300003051758
"36" 36 41603180284 3180284 -1 30.112699508667 184.606506347656 98.1903991699219 34 4607000064 4607000064 0.0344999991357327 8.95199966430664
"37" 37 41603175804 3175804 -1 29.8097991943359 186.49040222168 97.8323974609375 32 4.336e+09 4743000064 0.0348999984562397 18.1700000762939
"38" 38 41603179034 3179034 -1 29.8483009338379 186.002899169922 98.1324005126953 376 50950000640 52300001280 0.0775000005960464 17.8999996185303
